Ticker,Return,Volume Change Rate,Original Ticker
한세예스24홀딩스,30.0,108033.583,016450.KS
티웨이홀딩스,22.761,613.225,004870.KS
웅진씽크빅,17.851,91434.003,095720.KS
인스코비,17.353,457.627,006490.KS
삼성출판사,14.237,29959.125,068290.KS
율촌화학,11.404,1366.48,008730.KS
동아에스티,7.91,1925.848,170900.KS
디아이,7.819,591.902,003160.KS
웅진,7.799,19788.572,016880.KS
SK바이오팜,7.678,76.608,326030.KS
대웅제약,7.114,82.654,069620.KS
화신,6.984,159.948,010690.KS
만호제강,5.968,20.946,001080.KS
화승알앤에이,5.66,191.73,378850.KS
한국특강,5.263,182.063,007280.KS
두산,5.055,15.336,000150.KS
삼일제약,4.984,418.841,000520.KS
키다리스튜디오,4.95,6359.118,020120.KS
JB금융지주,4.502,63.409,175330.KS
에이프로젠,4.334,63.03,007460.KS
대유에이텍,4.278,11925.152,002880.KS
한진칼,4.237,-62.502,180640.KS
동아쏘시오홀딩스,4.096,117.129,000640.KS
SKC,3.941,42.336,011790.KS
경동나비엔,3.771,-3.424,009450.KS
경방,3.752,-14.588,000050.KS
한국금융지주,3.649,-45.696,071050.KS
하이트론,3.63,-71.291,019490.KS
영풍제지,3.582,235.461,006740.KS
아이에스동서,3.497,76.816,010780.KS
제이알글로벌리츠,3.448,-59.268,348950.KS
휴니드,3.439,22.867,005870.KS
삼양식품,3.416,45.309,003230.KS
롯데손해보험,3.211,-3.008,000400.KS
쿠쿠홀딩스,3.07,-16.831,192400.KS
삼성바이오로직스,2.915,9.097,207940.KS
동아지질,2.794,4608.789,028100.KS
이화산업,2.688,760.396,000760.KS
영원무역홀딩스,2.546,-37.904,009970.KS
SK케미칼,2.538,-21.724,285130.KS
부산산업,2.41,193.647,011390.KS
GS리테일,2.381,-13.149,007070.KS
삼성증권,2.378,-40.128,016360.KS
보령,2.358,-0.866,003850.KS
더존비즈온,2.355,-45.034,012510.KS
삼성제약,2.323,78.704,001360.KS
삼성카드,2.25,-58.332,029780.KS
유니온,2.233,-89.424,000910.KS
한미약품,2.177,9.185,128940.KS
크래프톤,2.157,-36.193,259960.KS
대원화성,2.083,-61.316,024890.KS
우진아이엔에스,2.053,-33.397,010400.KS
KC그린홀딩스,2.0,-15.359,009440.KS
롯데쇼핑,1.939,118.245,023530.KS
코람코라이프인프라리츠,1.915,186.386,357120.KS
코아스,1.868,-46.63,071950.KS
미래에셋증권,1.831,4.875,006800.KS
STX그린로지스,1.828,154.849,465770.KS
씨아이테크,1.818,-29.9,004920.KS
원림,1.804,-51.91,005820.KS
한국토지신탁,1.798,123.559,034830.KS
DB하이텍,1.759,20.195,000990.KS
LG디스플레이,1.746,-49.473,034220.KS
한화생명,1.724,-58.273,088350.KS
유니켐,1.712,-78.509,011330.KS
한화에어로스페이스,1.712,-57.774,012450.KS
새론오토모티브,1.702,-35.299,075180.KS
한미사이언스,1.7,-5.168,008930.KS
메리츠금융지주,1.7,-47.405,138040.KS
제일파마홀딩스,1.695,618.814,002620.KS
한양증권,1.681,-72.214,001750.KS
대웅,1.67,-27.255,003090.KS
KG스틸,1.667,31.286,016380.KS
서연이화,1.657,14.086,200880.KS
유한양행,1.638,-27.616,000100.KS
동양고속,1.626,-18.209,084670.KS
TBH글로벌,1.617,-40.816,084870.KS
DB,1.616,96.128,012030.KS
KB금융,1.557,-30.147,105560.KS
셀트리온,1.544,-31.361,068270.KS
제일연마,1.537,174.321,001560.KS
한올바이오파마,1.522,-60.12,009420.KS
삼성물산,1.512,-36.163,028260.KS
환인제약,1.496,168.967,016580.KS
이지스레지던스리츠,1.496,84.403,350520.KS
솔루엠,1.463,69.691,248070.KS
케이씨텍,1.459,-53.588,281820.KS
지누스,1.441,-67.061,013890.KS
세아특수강,1.388,281.13,019440.KS
한세엠케이,1.388,1319.679,069640.KS
태원물산,1.37,-80.689,001420.KS
방림,1.366,-53.372,003610.KS
현대모비스,1.354,-29.131,012330.KS
쿠쿠홈시스,1.339,-31.961,284740.KS
LG전자,1.337,-26.077,066570.KS
유화증권,1.333,-8.892,003460.KS
GS,1.322,-51.955,078930.KS
HD현대마린솔루션,1.31,172.522,443060.KS
녹십자홀딩스,1.285,-57.287,005250.KS
제일약품,1.275,-28.79,271980.KS
제이에스코퍼레이션,1.266,38.23,194370.KS
조흥,1.246,20.0,002600.KS
유니퀘스트,1.237,-62.63,077500.KS
신한지주,1.232,-40.271,055550.KS
종근당홀딩스,1.209,-30.865,001630.KS
대영포장,1.193,-76.783,014160.KS
롯데에너지머티리얼즈,1.189,-21.388,020150.KS
한솔제지,1.173,30.313,213500.KS
LG,1.164,-57.617,003550.KS
DB손해보험,1.161,-74.65,005830.KS
현대로템,1.151,-17.337,064350.KS
부국철강,1.128,68.04,026940.KS
롯데리츠,1.127,39.591,330590.KS
GS건설,1.098,22.512,006360.KS
DRB동일,1.088,335.306,004840.KS
태광산업,1.084,377.778,003240.KS
LIG넥스원,1.042,-39.899,079550.KS
영흥,1.042,283.842,012160.KS
삼성에스디에스,1.037,-53.852,018260.KS
아모레G,1.027,-68.118,002790.KS
SNT다이내믹스,1.02,-40.046,003570.KS
현대차,1.016,-55.924,005380.KS
혜인,0.994,37.197,003010.KS
화승코퍼레이션,0.991,-5.496,013520.KS
금호전기,0.981,10.219,001210.KS
강원랜드,0.971,11.646,035250.KS
한세실업,0.958,-39.417,105630.KS
코오롱,0.957,142.8,002020.KS
쏘카,0.953,94.38,403550.KS
계룡건설,0.95,-88.626,013580.KS
삼성SDI,0.947,54.025,006400.KS
SHD,0.938,-80.984,001770.KS
일진디스플,0.912,-35.593,020760.KS
인터지스,0.903,91.852,129260.KS
드림텍,0.901,-39.438,192650.KS
BGF리테일,0.901,-39.932,282330.KS
한화시스템,0.9,-46.52,272210.KS
HL홀딩스,0.861,-32.028,060980.KS
유니온머티리얼,0.858,-79.646,047400.KS
천일고속,0.854,-19.294,000650.KS
이마트,0.85,-16.477,139480.KS
한화리츠,0.84,55.177,451800.KS
ESR켄달스퀘어리츠,0.82,-12.087,365550.KS
KPX케미칼,0.816,-45.762,025000.KS
현대엘리베이,0.804,77.993,017800.KS
KB스타리츠,0.803,63.248,432320.KS
대우건설,0.798,-29.853,047040.KS
한화손해보험,0.795,-18.718,000370.KS
대양금속,0.79,49.623,009190.KS
기업은행,0.787,-56.226,024110.KS
한국타이어앤테크놀로지,0.783,-33.966,161390.KS
NPC,0.778,10.225,004250.KS
동양,0.761,8.974,001520.KS
풍산홀딩스,0.753,-22.076,005810.KS
AK홀딩스,0.752,-48.585,006840.KS
제이준코스메틱,0.739,20.083,025620.KS
파라다이스,0.737,-65.78,034230.KS
HS효성,0.733,-42.825,487570.KS
참엔지니어링,0.73,-5.23,009310.KS
NI스틸,0.725,67.635,008260.KS
SK텔레콤,0.723,-57.515,017670.KS
케이씨,0.721,-46.194,029460.KS
종근당,0.714,-39.366,185750.KS
KPX홀딩스,0.709,-42.259,092230.KS
KISCO홀딩스,0.709,-80.202,001940.KS
SBS,0.699,145.457,034120.KS
송원산업,0.696,-23.749,004430.KS
대림통상,0.694,-53.902,006570.KS
에스원,0.691,-74.011,012750.KS
세아홀딩스,0.689,-7.843,058650.KS
씨티알모빌리티,0.688,-75.947,308170.KS
한솔테크닉스,0.682,-46.865,004710.KS
삼성전자,0.679,-34.55,005930.KS
한국제지,0.678,68.608,027970.KS
SNT모티브,0.673,-32.824,064960.KS
서연,0.668,-31.569,007860.KS
에스디바이오센서,0.662,-35.661,137310.KS
대한제강,0.66,-33.2,084010.KS
화천기계,0.658,75.082,010660.KS
대덕,0.649,-12.306,008060.KS
DSR,0.643,-71.713,155660.KS
고려아연,0.634,92.024,010130.KS
진원생명과학,0.633,17.173,011000.KS
조선선재,0.626,-20.278,120030.KS
한화투자증권,0.614,-16.11,003530.KS
TKG휴켐스,0.61,-40.012,069260.KS
맥쿼리인프라,0.603,-57.4,088980.KS
하나투어,0.601,-54.626,039130.KS
삼성화재,0.599,-50.889,000810.KS
비상교육,0.598,111.338,100220.KS
CS홀딩스,0.592,270.912,000590.KS
이리츠코크렙,0.591,71.084,088260.KS
삼원강재,0.584,31.927,023000.KS
두올,0.576,-53.801,016740.KS
한미글로벌,0.541,-47.836,053690.KS
한진,0.525,101.937,002320.KS
남양유업,0.523,12.914,003920.KS
NAVER,0.522,-59.046,035420.KS
계양전기,0.517,-13.205,012200.KS
NH투자증권,0.515,-52.57,005940.KS
KIB플러그에너지,0.515,-13.32,015590.KS
미원화학,0.503,-18.105,134380.KS
대한화섬,0.499,124.921,003830.KS
HDC랩스,0.494,-0.067,039570.KS
경인전자,0.487,-29.843,009140.KS
SNT에너지,0.486,99.503,100840.KS
광전자,0.482,-42.424,017900.KS
현대해상,0.481,-49.257,001450.KS
한국철강,0.48,17.629,104700.KS
코리안리,0.477,-29.534,003690.KS
SK스퀘어,0.476,-42.19,402340.KS
삼진제약,0.476,-37.091,005500.KS
영원무역,0.473,-56.276,111770.KS
한국앤컴퍼니,0.465,0.127,000240.KS
동원F&B,0.46,-17.266,049770.KS
국도화학,0.46,-16.632,007690.KS
코스맥스비티아이,0.458,-13.378,044820.KS
모토닉,0.457,11.609,009680.KS
BYC,0.457,-60.234,001460.KS
카카오뱅크,0.455,-70.737,323410.KS
HDC현대산업개발,0.454,14.655,294870.KS
아세아시멘트,0.453,-29.154,183190.KS
JW생명과학,0.452,-52.266,234080.KS
동일제강,0.451,74.542,002690.KS
넥센,0.446,-29.191,005720.KS
현대차증권,0.444,-67.376,001500.KS
에이프로젠바이오로직스,0.442,53.85,003060.KS
SJM,0.437,-58.232,123700.KS
한진중공업홀딩스,0.432,-38.314,003480.KS
일신석재,0.427,265.646,007110.KS
티와이홀딩스,0.426,-22.076,363280.KS
AJ네트웍스,0.422,-6.828,095570.KS
한솔홈데코,0.417,-47.721,025750.KS
신원,0.416,48.61,009270.KS
삼성생명,0.412,7.438,032830.KS
대성에너지,0.409,-41.207,117580.KS
코람코더원리츠,0.402,54.109,417310.KS
대창단조,0.397,107.458,015230.KS
현대위아,0.392,-59.64,011210.KS
아주스틸,0.39,-51.03,139990.KS
유수홀딩스,0.39,-41.366,000700.KS
제일기획,0.39,-28.034,030000.KS
한샘,0.388,-60.126,009240.KS
영풍,0.386,-55.134,000670.KS
한국수출포장,0.386,-49.433,002200.KS
강남제비스코,0.384,-38.492,000860.KS
한일홀딩스,0.379,73.411,003300.KS
까뮤이앤씨,0.379,-56.134,013700.KS
SH에너지화학,0.364,-84.943,002360.KS
JW중외제약,0.36,-35.032,001060.KS
DB금융투자,0.359,-42.935,016610.KS
아이마켓코리아,0.358,-31.892,122900.KS
남성,0.356,154.851,004270.KS
신대양제지,0.351,-43.028,016590.KS
한전KPS,0.351,-34.902,051600.KS
동양생명,0.346,-37.497,082640.KS
현대지에프홀딩스,0.34,51.287,005440.KS
세기상사,0.336,-58.219,002420.KS
종근당바이오,0.335,-42.528,063160.KS
동성제약,0.332,-4.681,002210.KS
현대백화점,0.322,-52.863,069960.KS
다스코,0.312,184.975,058730.KS
HS애드,0.312,7.923,035000.KS
NHN,0.302,-46.815,181710.KS
기아,0.298,-56.437,000270.KS
비에이치,0.297,-11.842,090460.KS
평화산업,0.296,33.753,090080.KS
한신공영,0.29,-46.989,004960.KS
에이엔피,0.28,-41.793,015260.KS
동화약품,0.259,-29.067,000020.KS
현대그린푸드,0.256,-31.586,453340.KS
미원상사,0.252,-56.727,002840.KS
스틱인베스트먼트,0.25,31.456,026890.KS
현대퓨처넷,0.246,-14.386,126560.KS
디와이파워,0.238,-2.378,210540.KS
세방,0.236,30.214,004360.KS
대교,0.235,-74.416,019680.KS
유성기업,0.235,11.697,002920.KS
삼영무역,0.235,-29.168,002810.KS
한국가스공사,0.229,-20.672,036460.KS
신영와코루,0.218,-77.544,005800.KS
갤럭시아에스엠,0.214,34.493,011420.KS
에어부산,0.206,-55.896,298690.KS
롯데지주,0.206,-27.183,004990.KS
카카오페이,0.203,-61.037,377300.KS
스카이라이프,0.198,34.06,053210.KS
태경산업,0.189,-38.609,015890.KS
삼정펄프,0.188,403.875,009770.KS
에이피알,0.184,-10.789,278470.KS
대신증권,0.181,-22.371,003540.KS
평화홀딩스,0.18,-63.653,010770.KS
수산중공업,0.177,2.486,017550.KS
CR홀딩스,0.175,101.244,000480.KS
광동제약,0.174,20.311,009290.KS
광주신세계,0.172,93.473,037710.KS
DL이앤씨,0.171,-7.791,375500.KS
LX인터내셔널,0.171,-35.163,001120.KS
MH에탄올,0.17,-34.82,023150.KS
다올투자증권,0.168,20.913,030210.KS
크라운해태홀딩스,0.166,-26.684,005740.KS
효성ITX,0.157,94.679,094280.KS
동국씨엠,0.154,274.084,460850.KS
한국주강,0.151,185.716,025890.KS
대성산업,0.142,-39.68,128820.KS
LX홀딩스,0.14,7.429,383800.KS
카카오,0.134,-54.432,035720.KS
일진홀딩스,0.132,-36.45,015860.KS
DI동일,0.127,-56.523,001530.KS
OCI,0.125,-50.166,456040.KS
녹십자,0.125,-50.993,006280.KS
삼양패키징,0.118,64.361,272550.KS
금강공업,0.115,51.857,014280.KS
비비안,0.112,-81.296,002070.KS
노루페인트,0.111,-15.226,090350.KS
삼천리,0.111,-38.134,004690.KS
NH프라임리츠,0.11,-6.605,338100.KS
삼익THK,0.104,-12.314,004380.KS
LG유플러스,0.103,-18.175,032640.KS
성문전자,0.08,18.691,014910.KS
일양약품,0.077,-41.86,007570.KS
노루홀딩스,0.072,-55.367,000320.KS
SK가스,0.059,-74.454,018670.KS
청호ICT,0.0,,012600.KS
한국항공우주,0.0,-18.812,047810.KS
IHQ,0.0,,003560.KS
한국쉘석유,0.0,-17.226,002960.KS
부광약품,0.0,-31.08,003000.KS
세이브존I&C,0.0,-21.228,067830.KS
SPC삼립,0.0,-5.124,005610.KS
삼영전자,0.0,2.731,005680.KS
성보화학,0.0,-69.147,003080.KS
모나리자,0.0,82.113,012690.KS
KH 필룩스,0.0,,033180.KS
주연테크,0.0,19.398,044380.KS
HD현대인프라코어,0.0,-1.865,042670.KS
효성,0.0,-8.049,004800.KS
WISCOM,0.0,-96.834,024070.KS
우신시스템,0.0,-88.197,017370.KS
농심,0.0,-47.62,004370.KS
이구산업,0.0,27.568,025820.KS
신라교역,0.0,-5.638,004970.KS
성신양회,0.0,-18.467,004980.KS
한솔홀딩스,0.0,-19.907,004150.KS
부산주공,0.0,,005030.KS
신도리코,0.0,-61.833,029530.KS
한국전력,0.0,-29.859,015760.KS
신세계인터내셔날,0.0,-29.889,031430.KS
한창,0.0,,005110.KS
콤텍시스템,0.0,-45.73,031820.KS
오리엔트바이오,0.0,-54.314,002630.KS
SJG세종,0.0,33.742,033530.KS
신세계건설,0.0,73.275,034300.KS
인천도시가스,0.0,47.803,034590.KS
SNT홀딩스,0.0,9.859,036530.KS
LG헬로비전,0.0,-39.96,037560.KS
롯데칠성,0.0,-42.893,005300.KS
지엠비코리아,0.0,57.601,013870.KS
상신브레이크,0.0,-54.866,041650.KS
대림B&Co,0.0,207.525,005750.KS
한화인더스트리얼솔루션즈,0.0,-60.248,489790.KS
에이플러스에셋,0.0,-83.225,244920.KS
경보제약,0.0,,214390.KS
코오롱ENP,0.0,-33.7,138490.KS
BNK금융지주,0.0,-53.416,138930.KS
에이리츠,0.0,,140910.KS
PI첨단소재,0.0,-20.176,178920.KS
상상인증권,0.0,-45.484,001290.KS
국보,0.0,,001140.KS
마스턴프리미어리츠,0.0,-36.651,357430.KS
윌비스,0.0,29.763,008600.KS
현대코퍼레이션홀딩스,0.0,-48.547,227840.KS
전방,0.0,786.538,000950.KS
미래에셋맵스리츠,0.0,9.737,357250.KS
금비,0.0,1.019,008870.KS
효성중공업,0.0,-25.637,298040.KS
미원에스씨,0.0,-23.367,268280.KS
일진하이솔루스,0.0,-29.459,271940.KS
태영건설,0.0,,009410.KS
하나제약,0.0,-37.755,293480.KS
보해양조,0.0,-63.096,000890.KS
조비,0.0,2.605,001550.KS
한솔PNS,0.0,-38.692,010420.KS
시디즈,0.0,-43.402,134790.KS
웰바이오텍,0.0,,010600.KS
한독,0.0,-23.901,002390.KS
하이트진로,0.0,-28.767,000080.KS
롯데렌탈,0.0,11.669,089860.KS
아세아제지,0.0,-10.242,002310.KS
세원이앤씨,0.0,,091090.KS
이아이디,0.0,,093230.KS
HMM,0.0,-64.003,011200.KS
인바이오젠,0.0,,101140.KS
쌍방울,0.0,,102280.KS
풍산,0.0,-64.953,103140.KS
선도전기,0.0,,007610.KS
삼성FN리츠,0.0,-41.919,448730.KS
NH올원리츠,0.0,37.897,400760.KS
대동전자,0.0,,008110.KS
주성코퍼레이션,0.0,,109070.KS
동원산업,0.0,-26.087,006040.KS
한국자산신탁,0.0,-37.298,123890.KS
대유플러스,0.0,,000300.KS
카프로,0.0,,006380.KS
경동도시가스,-0.053,-52.625,267290.KS
LF,-0.065,-26.527,093050.KS
한일시멘트,-0.073,8.822,300720.KS
현대글로비스,-0.088,-28.29,086280.KS
대우부품,-0.091,-69.004,009320.KS
사조동아원,-0.1,85.302,008040.KS
롯데정밀화학,-0.104,-36.379,004000.KS
하이트진로홀딩스,-0.108,61.253,000140.KS
현대홈쇼핑,-0.108,-24.881,057050.KS
경농,-0.109,-33.33,002100.KS
금호타이어,-0.115,-30.041,073240.KS
자화전자,-0.117,-30.478,033240.KS
SIMPAC,-0.119,-65.995,009160.KS
KCC글라스,-0.123,-12.328,344820.KS
롯데하이마트,-0.124,42.644,071840.KS
신한서부티엔디리츠,-0.134,76.909,404990.KS
BGF,-0.139,-47.489,027410.KS
신흥,-0.14,-55.154,004080.KS
한화갤러리아,-0.141,-80.53,452260.KS
대한제분,-0.144,59.379,001130.KS
진양폴리,-0.15,-44.923,010640.KS
경인양행,-0.156,15.278,012610.KS
한국주철관,-0.156,-22.955,000970.KS
삼호개발,-0.156,-22.848,010960.KS
삼화왕관,-0.157,-81.648,004450.KS
