Ticker,Return,Volume Change Rate,Original Ticker
한세예스24홀딩스,30,108033.583,016450.KS
티웨이홀딩스,22.761,613.225,004870.KS
웅진씽크빅,17.851,91434.003,095720.KS
인스코비,17.353,457.627,006490.KS
삼성출판사,14.237,29959.125,068290.KS
율촌화학,11.404,1366.48,008730.KS
동아에스티,7.91,1925.848,170900.KS
디아이,7.819,591.902,003160.KS
웅진,7.799,19788.572,016880.KS
화신,6.984,159.948,010690.KS
화승알엔에이,5.66,191.73,378850.KS
한국특강,5.263,182.063,007280.KS
삼일제약,4.984,418.841,000520.KS
키다리스튜디오,4.95,6359.118,020120.KS
대유에이텍,4.278,11925.152,002880.KS
영품제지,3.582,235.461,006740.KS
동지지질,2.794,4608.789,028100.KS